Age,Department,JobRole,Gender,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,RiskScore,Attrition,ML_AttritionProbability,ML_PredictedAttrition,RiskTier,RiskFlags,HRRecommendations,InterventionCount
32,Research & Development,Laboratory Technician,Female,2370,No,2,3,8,0,3,No,4.08,No,🟢 LOW,LOW_SALARY,💰 Conduct immediate salary benchmarking and adjust compensation to market rate.,1
48,Sales,Manager,Female,12504,No,3,1,0,0,3,No,10.66,No,🟡 MEDIUM,POOR_WLB | POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK,"🏡 Introduce flexible/remote work options and mandatory wellness days. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.",3
37,Research & Development,Research Scientist,Male,5974,Yes,1,3,7,6,5,No,7.33,No,🟠 HIGH,OVERTIME_STRESS | LOW_JOB_SATISFACTION | POOR_RELATIONSHIPS | STAGNANT_CAREER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,4
30,Sales,Sales Executive,Female,4736,Yes,3,4,2,2,3,No,13.76,No,🟡 MEDIUM,OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
26,Sales,Sales Executive,Male,5296,No,3,3,8,7,1,No,2.4,No,🟢 LOW,STAGNANT_CAREER,🚀 Create an individual development plan (IDP) and fast-track promotion review.,1
42,Research & Development,Healthcare Representative,Male,6781,No,4,3,1,0,1,No,11.32,No,🟡 MEDIUM,POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.",2
21,Sales,Sales Representative,Female,2174,Yes,2,3,3,1,5,Yes,88.28,Yes,🔴 CRITICAL,LOW_SALARY | BELOW_AVG_HIKE | OVERTIME_STRESS | POOR_ENVIRONMENT | ML_HIGH_RISK,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📈 Review annual appraisal cycle; ensure hike is at least at industry median. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",5
36,Sales,Sales Executive,Female,6653,No,4,3,1,0,1,No,10.32,No,🟢 LOW,NEW_HIRE_FLIGHT_RISK,🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,1
36,Sales,Sales Executive,Male,9699,No,4,3,13,1,0,No,9.66,No,🟡 MEDIUM,BELOW_AVG_HIKE | POOR_ENVIRONMENT | POOR_RELATIONSHIPS,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🤝 Facilitate team-building activities and peer mentoring programs.",3
57,Research & Development,Healthcare Representative,Male,6755,No,3,3,3,1,0,No,3.58,No,🟢 LOW,BELOW_AVG_HIKE,📈 Review annual appraisal cycle; ensure hike is at least at industry median.,1
40,Research & Development,Laboratory Technician,Female,2213,Yes,3,3,7,1,3,No,5.61,No,🟡 MEDIUM,LOW_SALARY | OVERTIME_STRESS,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,2
21,Sales,Sales Representative,Male,2610,No,4,2,3,2,1,No,11.19,No,🟡 MEDIUM,LOW_SALARY | POOR_ENVIRONMENT,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
33,Sales,Sales Representative,Female,2851,Yes,3,3,1,0,4,Yes,92.02,Yes,🔴 CRITICAL,LOW_SALARY | OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
37,Research & Development,Laboratory Technician,Female,3452,No,1,3,5,0,2,No,2.4,No,🟡 MEDIUM,LOW_JOB_SATISFACTION | HIGH_JOB_HOPPER,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
46,Research & Development,Manufacturing Director,Female,5258,No,3,4,1,0,1,No,4.52,No,🟢 LOW,NEW_HIRE_FLIGHT_RISK,🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,1
41,Sales,Sales Executive,Male,9355,No,2,3,8,7,3,Yes,87.71,Yes,🔴 CRITICAL,POOR_ENVIRONMENT | STAGNANT_CAREER | ML_HIGH_RISK,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",3
50,Research & Development,Healthcare Representative,Male,10496,No,4,3,4,1,0,No,4.29,No,🟢 LOW,HIGH_JOB_HOPPER,🔗 Offer retention bonus tied to 2-year tenure milestone.,1
40,Sales,Sales Executive,Male,6380,Yes,3,3,6,1,2,Yes,85.38,Yes,🔴 CRITICAL,OVERTIME_STRESS | POOR_RELATIONSHIPS | ML_HIGH_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,3
31,Research & Development,Research Scientist,Male,2657,Yes,2,3,2,2,6,No,21.96,No,🟡 MEDIUM,LOW_SALARY | OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
21,Sales,Sales Representative,Female,2716,No,2,3,1,0,4,Yes,96.37,Yes,🔴 CRITICAL,LOW_SALARY | NO_TRAINING | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📚 Immediately enroll in skill-development programs; assign a learning budget. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
29,Research & Development,Research Scientist,Male,2201,No,4,3,3,1,1,No,9.68,No,🟡 MEDIUM,LOW_SALARY | HIGH_JOB_HOPPER,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
35,Research & Development,Healthcare Representative,Male,6540,No,2,3,1,0,3,No,14.09,No,🟡 MEDIUM,NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
27,Research & Development,Laboratory Technician,Male,3816,No,2,3,5,0,2,No,6.08,No,🟢 LOW,BELOW_AVG_HIKE,📈 Review annual appraisal cycle; ensure hike is at least at industry median.,1
28,Sales,Sales Executive,Male,5253,No,4,3,7,0,0,No,3.58,No,🟢 LOW,NONE,No immediate action required.,0
49,Research & Development,Healthcare Representative,Male,10965,No,3,3,5,0,0,No,7.37,No,🟢 LOW,HIGH_JOB_HOPPER,🔗 Offer retention bonus tied to 2-year tenure milestone.,1
51,Sales,Sales Executive,Female,4936,No,4,2,7,0,0,No,7.02,No,🟢 LOW,BELOW_AVG_HIKE,📈 Review annual appraisal cycle; ensure hike is at least at industry median.,1
36,Research & Development,Research Scientist,Female,2543,No,3,3,2,2,2,No,3.64,No,🟡 MEDIUM,LOW_SALARY | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
34,Sales,Sales Executive,Male,5304,Yes,4,2,5,0,2,Yes,86.3,Yes,🔴 CRITICAL,OVERTIME_STRESS | POOR_ENVIRONMENT | HIGH_JOB_HOPPER | ML_HIGH_RISK,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",4
55,Research & Development,Manager,Female,16659,Yes,4,3,5,1,2,No,5.42,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
24,Sales,Sales Executive,Female,4260,Yes,3,4,5,0,2,No,8.51,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
30,Sales,Sales Representative,Male,2476,No,2,3,1,0,4,No,18.53,No,🟡 MEDIUM,LOW_SALARY | POOR_RELATIONSHIPS | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
26,Research & Development,Research Scientist,Male,3102,No,1,3,6,0,2,Yes,70.19,Yes,🔴 CRITICAL,LOW_JOB_SATISFACTION | ML_HIGH_RISK,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,2
22,Research & Development,Research Scientist,Female,2244,No,2,3,2,1,4,No,17.67,No,🟡 MEDIUM,LOW_SALARY | POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.",3
36,Sales,Sales Executive,Male,7596,No,3,3,10,9,1,No,11.13,No,🟢 LOW,STAGNANT_CAREER,🚀 Create an individual development plan (IDP) and fast-track promotion review.,1
30,Research & Development,Research Scientist,Male,2285,Yes,4,3,1,0,4,Yes,95.03,Yes,🔴 CRITICAL,LOW_SALARY | OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,5
37,Research & Development,Laboratory Technician,Female,3034,No,1,2,18,12,3,No,4.2,No,🟡 MEDIUM,LOW_JOB_SATISFACTION | STAGNANT_CAREER,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
40,Sales,Sales Executive,Female,5715,No,2,3,5,1,2,No,3.1,No,🟢 LOW,HIGH_JOB_HOPPER,🔗 Offer retention bonus tied to 2-year tenure milestone.,1
42,Research & Development,Laboratory Technician,Female,2576,No,1,3,5,1,3,No,2.37,No,🟡 MEDIUM,LOW_SALARY | LOW_JOB_SATISFACTION,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,2
37,Research & Development,Manufacturing Director,Male,4197,Yes,2,2,1,0,5,No,14.87,No,🟡 MEDIUM,OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
43,Research & Development,Research Director,Male,14336,No,2,3,25,3,2,No,2.77,No,🟡 MEDIUM,BELOW_AVG_HIKE | POOR_ENVIRONMENT,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
40,Research & Development,Laboratory Technician,Female,3448,No,3,3,1,0,1,No,7.05,No,🟡 MEDIUM,NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
54,Research & Development,Research Director,Male,19406,No,1,2,4,1,2,No,4.35,No,🟡 MEDIUM,BELOW_AVG_HIKE | LOW_JOB_SATISFACTION | POOR_ENVIRONMENT,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",3
34,Sales,Sales Executive,Female,6538,No,3,3,3,1,0,No,6.75,No,🟡 MEDIUM,POOR_RELATIONSHIPS | HIGH_JOB_HOPPER,🤝 Facilitate team-building activities and peer mentoring programs. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
31,Research & Development,Manufacturing Director,Female,4306,No,1,1,13,3,4,No,8.48,No,🟡 MEDIUM,POOR_WLB | LOW_JOB_SATISFACTION,🏡 Introduce flexible/remote work options and mandatory wellness days. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,2
43,Research & Development,Laboratory Technician,Male,2258,No,4,3,3,1,1,No,6.56,No,🟡 MEDIUM,LOW_SALARY | POOR_RELATIONSHIPS | HIGH_JOB_HOPPER,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
43,Research & Development,Healthcare Representative,Female,4522,Yes,3,3,5,0,2,No,6.69,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
25,Sales,Sales Executive,Female,4487,Yes,4,3,5,1,2,No,11.7,No,🟡 MEDIUM,BELOW_AVG_HIKE | OVERTIME_STRESS,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,2
37,Research & Development,Research Scientist,Female,4449,Yes,3,3,13,10,3,No,3.34,No,🟡 MEDIUM,OVERTIME_STRESS | POOR_RELATIONSHIPS | STAGNANT_CAREER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,3
31,Research & Development,Laboratory Technician,Male,2218,No,1,3,4,3,3,No,8.0,No,🟡 MEDIUM,LOW_SALARY | LOW_JOB_SATISFACTION,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,2
39,Research & Development,Manager,Male,19197,Yes,3,3,21,1,2,No,2.46,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
56,Sales,Sales Executive,Female,13212,No,1,2,7,7,3,No,10.45,No,🟠 HIGH,BELOW_AVG_HIKE | LOW_JOB_SATISFACTION | STAGNANT_CAREER | NO_TRAINING | HIGH_JOB_HOPPER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 📚 Immediately enroll in skill-development programs; assign a learning budget. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,5
30,Sales,Sales Executive,Female,6577,No,3,3,5,4,0,No,5.11,No,🟡 MEDIUM,BELOW_AVG_HIKE | STAGNANT_CAREER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
41,Sales,Sales Executive,Male,8392,No,1,3,10,0,2,No,3.49,No,🟢 LOW,LOW_JOB_SATISFACTION,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,1
28,Research & Development,Laboratory Technician,Male,4558,No,1,3,10,1,2,No,3.12,No,🟢 LOW,LOW_JOB_SATISFACTION,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,1
25,Research & Development,Laboratory Technician,Male,4031,No,1,3,2,0,3,Yes,85.58,Yes,🔴 CRITICAL,LOW_JOB_SATISFACTION | POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER | ML_HIGH_RISK,"💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",5
52,Research & Development,Manufacturing Director,Male,7969,Yes,3,3,5,0,2,No,6.5,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
45,Research & Development,Research Scientist,Male,2654,No,4,2,2,0,2,No,6.12,No,🟡 MEDIUM,LOW_SALARY | POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.",3
52,Research & Development,Manager,Female,16555,No,4,1,5,1,2,No,2.9,No,🟢 LOW,POOR_WLB,🏡 Introduce flexible/remote work options and mandatory wellness days.,1
42,Research & Development,Research Scientist,Female,4556,No,3,3,5,0,0,No,8.01,No,🟡 MEDIUM,BELOW_AVG_HIKE | POOR_ENVIRONMENT,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
30,Research & Development,Manufacturing Director,Female,6091,No,4,3,5,0,0,No,5.94,No,🟢 LOW,LOW_INVOLVEMENT,🎯 Re-align role responsibilities; consider lateral move to a higher-impact project.,1
60,Research & Development,Manager,Female,19566,No,1,1,29,11,5,No,13.69,No,🔴 CRITICAL,BELOW_AVG_HIKE | POOR_WLB | LOW_JOB_SATISFACTION | POOR_ENVIRONMENT | STAGNANT_CAREER | HIGH_JOB_HOPPER,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🏡 Introduce flexible/remote work options and mandatory wellness days. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🔗 Offer retention bonus tied to 2-year tenure milestone.",6
46,Research & Development,Manufacturing Director,Female,4810,No,3,2,10,0,0,No,3.74,No,🟢 LOW,NONE,No immediate action required.,0
42,Research & Development,Healthcare Representative,Female,4523,No,4,4,6,0,0,No,5.88,No,🟢 LOW,BELOW_AVG_HIKE,📈 Review annual appraisal cycle; ensure hike is at least at industry median.,1
24,Sales,Sales Representative,Female,3202,Yes,2,3,5,1,4,Yes,91.11,Yes,🔴 CRITICAL,OVERTIME_STRESS | POOR_ENVIRONMENT | ML_HIGH_RISK,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",3
34,Sales,Sales Representative,Female,2351,No,3,2,2,1,2,Yes,83.7,Yes,🔴 CRITICAL,LOW_SALARY | LOW_INVOLVEMENT | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎯 Re-align role responsibilities; consider lateral move to a higher-impact project. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
38,Research & Development,Laboratory Technician,Male,1702,Yes,4,3,1,0,4,No,24.48,No,🟡 MEDIUM,LOW_SALARY | OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
40,Sales,Manager,Female,18041,No,3,3,20,1,0,No,2.35,No,🟢 LOW,NONE,No immediate action required.,0
26,Research & Development,Research Scientist,Female,2886,No,4,1,3,0,3,No,5.96,No,🟡 MEDIUM,LOW_SALARY | POOR_WLB | POOR_ENVIRONMENT,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏡 Introduce flexible/remote work options and mandatory wellness days. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",3
30,Research & Development,Laboratory Technician,Male,2097,No,4,1,5,1,3,No,6.26,No,🟡 MEDIUM,LOW_SALARY | POOR_WLB,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏡 Introduce flexible/remote work options and mandatory wellness days.,2
29,Research & Development,Research Director,Male,11935,No,3,3,10,0,0,No,2.7,No,🟢 LOW,NONE,No immediate action required.,0
29,Research & Development,Research Scientist,Female,2546,No,2,4,2,1,4,Yes,91.14,Yes,🔴 CRITICAL,LOW_SALARY | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
19,Human Resources,Human Resources,Male,2564,No,4,4,1,0,2,Yes,94.76,Yes,🔴 CRITICAL,LOW_SALARY | POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",4
30,Sales,Sales Executive,Female,8412,No,1,3,9,7,3,No,6.82,No,🟡 MEDIUM,BELOW_AVG_HIKE | LOW_JOB_SATISFACTION | STAGNANT_CAREER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,3
57,Sales,Manager,Male,14118,No,4,2,1,0,1,No,9.48,No,🟡 MEDIUM,POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.",2
50,Research & Development,Manager,Male,17046,No,3,3,27,15,1,No,4.17,No,🟢 LOW,STAGNANT_CAREER,🚀 Create an individual development plan (IDP) and fast-track promotion review.,1
30,Research & Development,Laboratory Technician,Female,2564,No,4,2,11,6,2,No,5.98,No,🟡 MEDIUM,LOW_SALARY | STAGNANT_CAREER,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
60,Sales,Sales Executive,Female,10266,No,1,4,18,13,3,No,11.59,No,🟡 MEDIUM,LOW_JOB_SATISFACTION | STAGNANT_CAREER,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
47,Research & Development,Manufacturing Director,Female,5070,No,4,3,5,0,0,No,3.03,No,🟡 MEDIUM,POOR_ENVIRONMENT | HIGH_JOB_HOPPER,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🔗 Offer retention bonus tied to 2-year tenure milestone.",2
46,Research & Development,Research Director,Male,17861,No,3,1,3,0,2,No,4.38,No,🟡 MEDIUM,POOR_WLB | POOR_ENVIRONMENT | HIGH_JOB_HOPPER,"🏡 Introduce flexible/remote work options and mandatory wellness days. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🔗 Offer retention bonus tied to 2-year tenure milestone.",3
35,Research & Development,Laboratory Technician,Male,4230,No,3,3,5,4,0,No,6.38,No,🟡 MEDIUM,STAGNANT_CAREER | LOW_INVOLVEMENT,🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🎯 Re-align role responsibilities; consider lateral move to a higher-impact project.,2
54,Research & Development,Laboratory Technician,Female,3780,No,3,3,1,0,1,No,7.4,No,🟡 MEDIUM,BELOW_AVG_HIKE | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
34,Research & Development,Research Scientist,Male,2768,No,3,3,7,5,1,No,1.32,No,🟡 MEDIUM,LOW_SALARY | STAGNANT_CAREER,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
46,Sales,Sales Executive,Female,9071,Yes,4,3,3,1,2,No,5.85,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
31,Research & Development,Manufacturing Director,Male,10648,No,2,4,13,0,2,No,3.41,No,🟢 LOW,NONE,No immediate action required.,0
33,Research & Development,Manager,Male,13610,Yes,3,4,7,7,3,Yes,84.35,Yes,🔴 CRITICAL,OVERTIME_STRESS | STAGNANT_CAREER | HIGH_JOB_HOPPER | ML_HIGH_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
33,Research & Development,Laboratory Technician,Male,3408,No,4,3,4,1,0,Yes,83.1,Yes,🔴 CRITICAL,POOR_ENVIRONMENT | POOR_RELATIONSHIPS | LOW_INVOLVEMENT | HIGH_JOB_HOPPER | ML_HIGH_RISK,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🎯 Re-align role responsibilities; consider lateral move to a higher-impact project. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",5
30,Sales,Sales Representative,Male,2983,No,2,3,3,1,3,No,9.28,No,🟡 MEDIUM,LOW_SALARY | POOR_RELATIONSHIPS,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🤝 Facilitate team-building activities and peer mentoring programs.,2
35,Research & Development,Healthcare Representative,Male,7632,Yes,3,3,8,0,2,No,10.39,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
31,Research & Development,Healthcare Representative,Male,9824,No,3,3,1,0,1,Yes,84.72,Yes,🔴 CRITICAL,POOR_ENVIRONMENT | POOR_RELATIONSHIPS | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",4
34,Human Resources,Human Resources,Female,9950,Yes,1,3,3,0,4,Yes,78.53,Yes,🔴 CRITICAL,OVERTIME_STRESS | LOW_JOB_SATISFACTION | HIGH_JOB_HOPPER | ML_HIGH_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
